Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2021-09-13,378.99,379.43,374.22,376.33,48741780.0,18322317000.0,376.33,0.0
2021-09-14,377.86,378.61,374.28,375.26,41826624.0,15726517000.0,375.26,0.0
2021-09-15,375.73,378.41,373.37,378.05,34097864.0,12814153000.0,378.05,0.0
2021-09-16,376.68,378.9,374.695,378.31,35193084.0,13262786000.0,378.31,0.0
2021-09-17,377.82,377.87,372.76,373.83,60912268.0,22833426000.0,373.83,0.41391
2021-09-20,367.46,369.25,360.93,365.7,76203200.0,27856780000.0,365.7,0.0
2021-09-21,367.58,368.81,364.99,366.15,41927484.0,15382206000.0,366.15,0.0
2021-09-22,367.09,371.07,365.9584,369.57,46972920.0,17330050000.0,369.57,0.0
2021-09-23,370.76,374.04,370.099,372.98,44652000.0,16640271000.0,372.98,0.0
2021-09-24,370.65,373.76,370.27,373.33,36056800.0,13418174000.0,373.33,0.0
2021-09-27,370.2,371.2516,367.73,370.35,43338080.0,16038951000.0,370.35,0.0
2021-09-28,365.67,370.302,359.35,359.87,97701630.0,35366887000.0,359.87,0.0
2021-09-29,361.17,363.37,358.635,359.28,58076620.0,20961143000.0,359.28,0.0
2021-09-30,360.97,362.68,357.1,357.96,61384576.0,22102174000.0,357.96,0.0
2021-10-01,358.6,361.25,354.38,360.18,56375490.0,20179954000.0,360.18,0.0
2021-10-04,358.52,358.86,350.32,352.62,76766010.0,27078207000.0,352.62,0.0
2021-10-05,353.71,359.69,353.48,357.38,47232904.0,16869727000.0,357.38,0.0
2021-10-06,354.08,359.95,353.15,359.67,56806536.0,20273078000.0,359.67,0.0
2021-10-07,362.8,365.69,362.25,362.97,39411172.0,14350645000.0,362.97,0.0
2021-10-08,364.08,364.3166,360.61,361.16,41822308.0,15144038000.0,361.16,0.0
2021-10-11,359.58,363.2,358.3,358.39,34847184.0,12572018000.0,358.39,0.0
2021-10-12,359.88,360.33,356.48,357.14,43905100.0,15713419000.0,357.14,0.0
2021-10-13,359.51,360.69,357.43,360.0,40120796.0,14404482000.0,360.0,0.0
2021-10-14,363.69,366.85,363.01,366.63,43433868.0,15870758000.0,366.63,0.0
2021-10-15,367.88,369.06,366.82,368.94,40419770.0,14866524000.0,368.94,0.0
2021-10-18,367.61,372.87,366.99,372.65,34513510.0,12797626000.0,372.65,0.0
2021-10-19,373.75,375.52,372.6974,375.47,29090964.0,10894853000.0,375.47,0.0
2021-10-20,375.94,376.565,373.46,374.98,31390338.0,11777353000.0,374.98,0.0
2021-10-21,374.16,377.47,373.85,377.27,25469276.0,9576016000.0,377.27,0.0
2021-10-22,375.98,376.97,372.385,374.1,36275824.0,13589454000.0,374.1,0.0
2021-10-25,375.56,378.87,373.56,377.93,32597804.0,12286048000.0,377.93,0.0
2021-10-26,380.23,382.71,377.905,379.12,47191280.0,17938592000.0,379.12,0.0
2021-10-27,379.58,383.15,379.31,380.0,45760496.0,17432488000.0,380.0,0.0
2021-10-28,381.95,384.48,381.155,384.22,38007004.0,14554240000.0,384.22,0.0
2021-10-29,381.06,386.28,380.7,386.11,37309310.0,14319995000.0,386.11,0.0
2021-11-01,386.56,387.56,384.42,387.43,30765304.0,11877468000.0,387.43,0.0
2021-11-02,386.8,389.54,386.75,389.05,25135292.0,9764326000.0,389.05,0.0
2021-11-03,389.55,393.61,388.48,393.18,33748900.0,13184314000.0,393.18,0.0
2021-11-04,394.48,399.2,393.92,398.22,40265310.0,15984099000.0,398.22,0.0
2021-11-05,400.04,400.99,397.16,398.6,43383800.0,17322340000.0,398.6,0.0
2021-11-08,398.57,399.62,397.4,398.06,29256270.0,11655567000.0,398.06,0.0
2021-11-09,399.16,399.57,393.92,395.32,50490720.0,19993924000.0,395.32,0.0
2021-11-10,392.47,395.36,387.53,389.51,54937384.0,21513499000.0,389.51,0.0
2021-11-11,392.57,392.75,390.24,390.59,32242984.0,12617244000.0,390.59,0.0
2021-11-12,391.77,395.25,390.13,394.7,34730564.0,13658743000.0,394.7,0.0
2021-11-15,395.91,396.24,392.095,394.61,33716860.0,13293813000.0,394.61,0.0
2021-11-16,393.86,397.93,393.66,397.42,27872940.0,11054901000.0,397.42,0.0
2021-11-17,397.75,399.7196,396.64,397.63,28703264.0,11421556000.0,397.63,0.0
2021-11-18,399.73,402.27,397.45,401.75,45721516.0,18296943000.0,401.75,0.0
2021-11-19,403.43,405.3,402.58,403.99,45191720.0,18252150000.0,403.99,0.0
2021-11-22,405.57,408.71,399.19,399.3,61715370.0,24933734000.0,399.3,0.0
