Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2021-08-02,440.34,440.93,437.21,437.59,58782736.0,25802520000.0,437.59,0.0
2021-08-03,438.44,441.28,436.1,441.15,58053896.0,25495415000.0,441.15,0.0
2021-08-04,439.78,441.1243,438.73,438.98,46732212.0,20548389000.0,438.98,0.0
2021-08-05,440.22,441.85,439.88,441.76,38969660.0,17173392000.0,441.76,0.0
2021-08-06,442.1,442.94,441.8,442.49,46930010.0,20757465000.0,442.49,0.0
2021-08-09,442.46,442.795,441.31,442.13,41222584.0,18228880000.0,442.13,0.0
2021-08-10,442.61,443.44,441.88,442.68,43339176.0,19181525000.0,442.68,0.0
2021-08-11,443.82,443.882,442.62,443.78,44034340.0,19524510000.0,443.78,0.0
2021-08-12,443.62,445.2572,442.66,445.11,38942416.0,17297652000.0,445.11,0.0
2021-08-13,445.59,445.94,445.07,445.92,39470252.0,17584849000.0,445.92,0.0
2021-08-16,444.53,447.11,442.87,446.97,73930860.0,32919806000.0,446.97,0.0
2021-08-17,444.24,444.96,440.85,444.04,92673940.0,41106710000.0,444.04,0.0
2021-08-18,442.96,444.625,438.92,439.18,89351930.0,39475143000.0,439.18,0.0
2021-08-19,436.27,441.14,436.12,439.86,92812250.0,40753754000.0,439.86,0.0
2021-08-20,440.23,443.71,439.71,443.36,72008710.0,31846832000.0,443.36,0.0
2021-08-23,445.16,448.23,443.4355,447.26,54973040.0,24559655000.0,447.26,0.0
2021-08-24,447.97,448.54,447.42,447.97,38744710.0,17356268000.0,447.97,0.0
2021-08-25,448.17,449.457,447.77,448.91,40529710.0,18189136000.0,448.91,0.0
2021-08-26,448.61,448.86,446.16,446.26,57829572.0,25863473000.0,446.26,0.0
2021-08-27,447.12,450.65,447.06,450.25,77235110.0,34713090000.0,450.25,0.0
2021-08-30,450.97,453.07,450.71,452.23,48357356.0,21860360000.0,452.23,0.0
2021-08-31,452.13,452.49,450.92,451.56,59300212.0,26791543000.0,451.56,0.0
2021-09-01,452.56,453.11,451.545,451.8,48721376.0,22036509000.0,451.8,0.0
2021-09-02,453.32,454.05,451.91,453.19,42830868.0,19400086000.0,453.19,0.0
2021-09-03,451.98,453.63,451.55,453.08,47234364.0,21392593000.0,453.08,0.0
2021-09-07,452.71,452.81,450.7423,451.46,51671536.0,23346747000.0,451.46,0.0
2021-09-08,450.89,451.67,448.86,450.91,56181908.0,25312094000.0,450.91,0.0
2021-09-09,450.7,452.57,448.72,448.98,57970410.0,26100378000.0,448.98,0.0
2021-09-10,451.04,451.49,445.31,445.44,89948180.0,40267810000.0,445.44,0.0
2021-09-13,448.64,448.92,444.11,446.58,83738650.0,37346850000.0,446.58,0.0
2021-09-14,448.12,448.34,443.22,444.17,78197140.0,34796220000.0,444.17,0.0
2021-09-15,444.62,448.41,443.44,447.88,78791624.0,35160820000.0,447.88,0.0
2021-09-16,447.32,448.36,444.02,447.17,77786740.0,34734182000.0,447.17,1.4281
2021-09-17,444.92,445.37,441.02,441.4,118425040.0,52423954000.0,441.4,0.0
2021-09-20,434.88,436.56,428.86,434.04,166445540.0,72171250000.0,434.04,0.0
2021-09-21,436.53,437.91,433.07,433.63,92526110.0,40261940000.0,433.63,0.0
2021-09-22,436.05,440.03,433.747,437.86,102350140.0,44819513000.0,437.86,0.0
2021-09-23,439.85,444.89,439.6,443.18,76395980.0,33836600000.0,443.18,0.0
2021-09-24,441.44,444.67,441.21,443.91,62094836.0,27527900000.0,443.91,0.0
2021-09-27,442.81,444.05,441.9,442.64,61371108.0,27189142000.0,442.64,0.0
2021-09-28,439.69,440.04,432.94,433.72,130436300.0,56825864000.0,433.72,0.0
2021-09-29,435.19,437.04,433.85,434.45,82329220.0,35838173000.0,434.45,0.0
2021-09-30,436.02,436.77,428.78,429.14,140505980.0,60708323000.0,429.14,0.0
2021-10-01,430.98,436.0329,427.23,434.24,129240104.0,55796880000.0,434.24,0.0
2021-10-04,433.0,433.96,426.36,428.64,128569960.0,55166497000.0,428.64,0.0
2021-10-05,430.24,435.49,429.39,433.1,90682520.0,39277703000.0,433.1,0.0
2021-10-06,429.27,435.1199,427.54,434.9,113032250.0,48796127000.0,434.9,0.0
2021-10-07,438.39,441.68,438.2,438.66,72437496.0,31849142000.0,438.66,0.0
2021-10-08,439.48,439.89,437.19,437.86,74557410.0,32685621000.0,437.86,0.0
2021-10-11,437.16,440.26,434.62,434.69,65233284.0,28515996000.0,434.69,0.0
2021-10-12,435.67,436.1,432.78,433.62,71181160.0,30919283000.0,433.62,0.0
2021-10-13,434.71,436.05,431.54,435.18,72973976.0,31676494000.0,435.18,0.0
2021-10-14,439.08,442.66,438.58,442.5,70236824.0,30976723000.0,442.5,0.0
2021-10-15,444.75,446.26,444.09,445.87,66260120.0,29496590000.0,445.87,0.0
