Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2021-08-02,149.454,151.23,149.18,150.67,21232706.0,3194571000.0,150.67,0.0
2021-08-03,150.75,151.23,150.39,150.75,13361939.0,2014907600.0,150.75,0.0
2021-08-04,151.5,151.82,149.72,151.06,18267908.0,2753405400.0,151.06,0.0
2021-08-05,150.76,150.92,150.0,150.29,15345359.0,2307885300.0,150.29,0.0
2021-08-06,148.322,148.76,147.6909,147.78,21144286.0,3131682600.0,147.78,0.0
2021-08-09,148.152,148.56,147.23,147.25,12942623.0,1910969700.0,147.25,0.0
2021-08-10,147.49,147.57,146.56,146.57,13716901.0,2013558500.0,146.57,0.0
2021-08-11,146.412,147.23,145.71,146.48,17227604.0,2520995300.0,146.48,0.0
2021-08-12,146.09,146.44,145.43,146.24,14710931.0,2148527600.0,146.24,0.0
2021-08-13,146.83,148.56,146.81,148.55,18653828.0,2762662700.0,148.55,0.0
2021-08-16,149.19,150.02,148.81,148.91,19171544.0,2860630300.0,148.91,0.0
2021-08-17,148.88,149.47,148.67,148.85,14126883.0,2105407400.0,148.85,0.0
2021-08-18,148.71,149.47,148.45,149.35,13143979.0,1956866600.0,149.35,0.0
2021-08-19,150.31,150.46,149.81,150.45,15474585.0,2325075000.0,150.45,0.0
2021-08-20,150.59,150.81,150.11,150.55,12388424.0,1863448800.0,150.55,0.0
2021-08-23,150.2,150.495,149.92,150.45,10615040.0,1595403400.0,150.45,0.0
2021-08-24,149.76,150.07,149.28,149.28,13835931.0,2068575700.0,149.28,0.0
2021-08-25,149.21,149.37,147.58,148.04,16743814.0,2481775600.0,148.04,0.0
2021-08-26,147.965,148.57,147.51,148.45,16657435.0,2467174700.0,148.45,0.0
2021-08-27,148.57,149.485,148.33,149.46,15384740.0,2291387100.0,149.46,0.0
2021-08-30,148.99,149.9,148.93,149.85,10596306.0,1584195600.0,149.85,0.0
2021-08-31,149.67,150.09,148.5,148.83,15262401.0,2274039600.0,148.83,0.18935
2021-09-01,149.27,149.39,148.49,148.89,10807084.0,1609097300.0,148.89,0.0
2021-09-02,149.24,149.55,148.75,149.54,9766003.0,1457455700.0,149.54,0.0
2021-09-03,148.27,148.51,147.94,148.18,12928250.0,1915823100.0,148.18,0.0
2021-09-07,147.262,147.52,146.655,146.93,15548172.0,2285654800.0,146.93,0.0
2021-09-08,147.66,148.19,147.39,147.93,14533699.0,2148033800.0,147.93,0.0
2021-09-09,148.17,149.89,147.85,149.72,20324740.0,3032299500.0,149.72,0.0
2021-09-10,148.9,149.17,148.16,148.4,14894629.0,2213167400.0,148.4,0.0
2021-09-13,149.042,149.49,148.95,149.3,15036064.0,2244837400.0,149.3,0.0
2021-09-14,149.73,151.57,149.58,151.11,19918376.0,3004657400.0,151.11,0.0
2021-09-15,151.21,151.25,149.93,150.58,11940558.0,1797749000.0,150.58,0.0
2021-09-16,149.67,150.45,149.5,149.89,13328978.0,1998695800.0,149.89,0.0
2021-09-17,149.182,149.36,148.7,149.17,13783034.0,2055035500.0,149.17,0.0
2021-09-20,150.57,151.37,150.23,151.02,14660406.0,2211701200.0,151.02,0.0
2021-09-21,150.71,150.96,150.2,150.89,10035770.0,1512003700.0,150.89,0.0
2021-09-22,150.79,151.79,150.44,151.79,22277764.0,3367199700.0,151.79,0.0
2021-09-23,150.42,150.45,148.3401,148.36,23853344.0,3554996500.0,148.36,0.0
2021-09-24,147.84,147.85,146.735,146.91,20203936.0,2973040600.0,146.91,0.0
2021-09-27,146.06,146.87,145.88,146.37,13464252.0,1973035600.0,146.37,0.0
2021-09-28,144.33,145.07,143.64,144.09,26613466.0,3841967900.0,144.09,0.0
2021-09-29,144.8,145.43,143.69,144.34,23569416.0,3404653000.0,144.34,0.0
2021-09-30,144.1,144.515,143.65,144.32,22567556.0,3253230300.0,144.32,0.18308
2021-10-01,144.85,145.4,144.2,145.35,26151798.0,3790616300.0,145.35,0.0
2021-10-04,144.67,145.46,144.1,144.98,28027596.0,4062298000.0,144.98,0.0
2021-10-05,144.6,144.7,143.461,143.58,22659504.0,3257716000.0,143.58,0.0
2021-10-06,144.23,144.715,144.025,144.39,18696688.0,2697990000.0,144.39,0.0
2021-10-07,143.185,143.335,142.59,142.88,14856041.0,2123528800.0,142.88,0.0
2021-10-08,142.255,142.35,141.525,141.88,17257754.0,2449988400.0,141.88,0.0
2021-10-11,141.6,141.9,141.45,141.52,7213403.0,1021808400.0,141.52,0.0
2021-10-12,142.63,144.01,142.48,143.94,17968952.0,2575284500.0,143.94,0.0
2021-10-13,144.61,145.53,144.5754,145.34,23584828.0,3422420000.0,145.34,0.0
2021-10-14,145.37,145.96,144.945,145.88,12950609.0,1886316700.0,145.88,0.0
2021-10-15,145.0,145.14,144.47,145.03,11811539.0,1711178200.0,145.03,0.0
2021-10-18,145.0,146.0,144.52,145.71,12115879.0,1762910800.0,145.71,0.0
2021-10-19,144.66,144.73,143.65,143.7,12156566.0,1750776600.0,143.7,0.0
2021-10-20,143.25,143.68,142.51,142.73,12782477.0,1828653000.0,142.73,0.0
2021-10-21,143.0,143.15,142.23,142.56,13660022.0,1947984100.0,142.56,0.0
2021-10-22,143.45,144.4,143.21,144.13,13740010.0,1977095300.0,144.13,0.0
2021-10-25,143.67,144.3,143.63,143.91,8138047.0,1171450100.0,143.91,0.0
2021-10-26,144.62,145.1,143.74,145.1,13670997.0,1978844400.0,145.1,0.0
2021-10-27,146.4,148.18,145.93,147.74,22092262.0,3253856300.0,147.74,0.0
2021-10-28,147.79,148.33,146.835,147.24,17497586.0,2577667000.0,147.24,0.0
2021-10-29,146.47,148.0,146.32,147.69,19087338.0,2814688300.0,147.69,0.18822
2021-11-01,145.8,146.76,145.7,146.44,18035452.0,2637375700.0,146.44,0.0
2021-11-02,146.5,147.57,146.5,147.09,9836737.0,1446239100.0,147.09,0.0
2021-11-03,147.82,147.98,145.53,145.57,20639350.0,3024113200.0,145.57,0.0
2021-11-04,145.87,147.36,145.85,147.1,15922377.0,2336994300.0,147.1,0.0
2021-11-05,148.52,149.58,148.13,149.3,21513028.0,3205890300.0,149.3,0.0
2021-11-08,148.96,149.28,148.51,149.02,12083905.0,1800359600.0,149.02,0.0
2021-11-09,150.8,151.767,150.64,150.96,23430240.0,3539179000.0,150.96,0.0
2021-11-10,150.83,150.93,147.03,148.2,28170644.0,4191501300.0,148.2,0.0
2021-11-11,148.508,148.655,147.89,147.98,5552818.0,822195840.0,147.98,0.0
2021-11-12,148.0,148.51,146.76,147.33,12711972.0,1874288500.0,147.33,0.0
2021-11-15,146.89,146.96,145.22,145.48,15232710.0,2220722200.0,145.48,0.0
2021-11-16,145.69,146.38,144.85,145.11,12998708.0,1891933800.0,145.11,0.0
2021-11-17,144.57,146.29,144.46,146.26,14239864.0,2071439600.0,146.26,0.0
2021-11-18,145.9917,146.9,145.95,146.81,11055620.0,1620458400.0,146.81,0.0
2021-11-19,147.58,148.595,147.58,148.36,14022924.0,2078323500.0,148.36,0.0
2021-11-22,147.4,147.64,146.125,146.62,15267367.0,2242556400.0,146.62,0.0
2021-11-23,145.93,146.11,144.5,144.5,15321246.0,2225074400.0,144.5,0.0
2021-11-24,144.94,146.82,144.79,146.82,13769705.0,2012418000.0,146.82,0.0
2021-11-26,148.83,150.68,148.67,150.53,20064778.0,3005862000.0,150.53,0.0
2021-11-29,148.31,149.635,148.17,149.32,23234232.0,3465397500.0,149.32,0.0
2021-11-30,150.83,152.07,150.25,151.59,31481116.0,4766217700.0,151.59,0.18416
2021-12-01,150.485,152.41,149.79,152.34,30838844.0,4667880000.0,152.34,0.0
2021-12-02,152.93,152.99,150.76,152.53,17754176.0,2702335200.0,152.53,0.0
2021-12-03,151.68,155.12,151.35,154.35,34427104.0,5294211600.0,154.35,0.0
2021-12-06,154.05,154.35,151.93,152.23,30924204.0,4725561300.0,152.23,0.0
2021-12-07,151.72,152.525,150.8601,151.0,22115852.0,3354210300.0,151.0,0.0
2021-12-08,150.472,150.48,148.36,148.39,33633892.0,5020089000.0,148.39,0.0
2021-12-09,149.34,149.84,148.48,149.22,17544892.0,2618844000.0,149.22,0.0
2021-12-10,149.92,150.24,148.81,148.86,14298740.0,2135828400.0,148.86,0.0
2021-12-13,150.39,151.305,150.31,151.06,17860464.0,2694868200.0,151.06,0.0
2021-12-14,150.37,150.93,149.31,150.7,14015451.0,2107143400.0,150.7,0.0
2021-12-15,149.6139,150.79,149.13,149.25,25383932.0,3807165000.0,149.25,0.16761
2021-12-16,148.75,149.88,148.73,149.14,18677892.0,2788672800.0,149.14,0.0
2021-12-17,150.34,150.98,150.16,150.83,18094620.0,2726040300.0,150.83,0.0
2021-12-20,150.75,151.02,149.595,149.7,17147276.0,2576668200.0,149.7,0.0
2021-12-21,148.14,149.2,147.62,149.13,16598163.0,2461564000.0,149.13,0.0
2021-12-22,149.73,149.86,149.02,149.82,12253936.0,1832966700.0,149.82,0.0
2021-12-23,149.59,149.6,148.03,148.52,11636461.0,1727347500.0,148.52,0.0
2021-12-27,148.46,149.01,148.32,148.88,7822856.0,1163752700.0,148.88,0.0
2021-12-28,149.6,149.78,148.01,148.29,9176428.0,1365501800.0,148.29,0.0
2021-12-29,146.91,147.309,146.41,146.67,11771223.0,1727741800.0,146.67,0.0
2021-12-30,147.25,147.9699,146.45,147.9,10355046.0,1526971300.0,147.9,0.0
2021-12-31,147.81,149.03,147.43,148.19,13402321.0,1986379500.0,148.19,0.0
2022-01-03,146.41,146.94,144.28,144.3,33860384.0,4923266600.0,144.3,0.0
2022-01-04,143.61,144.13,142.74,143.7,21996350.0,3154727000.0,143.7,0.0
2022-01-05,144.14,144.16,142.71,142.92,20911676.0,2996339000.0,142.92,0.0
2022-01-06,142.59,143.44,142.29,143.29,18996352.0,2713834500.0,143.29,0.0
2022-01-07,143.13,143.236,141.56,142.26,18756844.0,2669323300.0,142.26,0.0
2022-01-10,141.65,142.805,141.36,142.61,13775697.0,1957890700.0,142.61,0.0
2022-01-11,142.88,143.63,142.695,143.56,24388906.0,3493477400.0,143.56,0.0
2022-01-12,143.9,144.01,142.995,143.01,14440646.0,2070873500.0,143.01,0.0
2022-01-13,143.39,144.42,143.03,144.28,15166030.0,2180862000.0,144.28,0.0
2022-01-14,143.42,143.46,141.795,142.1,22997532.0,3275741400.0,142.1,0.0
2022-01-18,140.96,141.31,140.02,140.1,21173750.0,2974432000.0,140.1,0.0
2022-01-19,140.53,141.71,140.31,141.07,17930464.0,2530790400.0,141.07,0.0
2022-01-20,141.37,141.99,141.09,141.94,13958952.0,1975873700.0,141.94,0.0
2022-01-21,143.4,144.1,142.67,143.63,28916580.0,4148136400.0,143.63,0.0
2022-01-24,144.3,144.365,142.43,142.45,25005608.0,3589023000.0,142.45,0.0
2022-01-25,143.11,143.71,141.8,142.22,15598988.0,2223613200.0,142.22,0.0
2022-01-26,142.26,142.57,140.49,140.5,23655546.0,3346956000.0,140.5,0.0
2022-01-27,142.41,143.365,142.33,143.08,21501786.0,3074051300.0,143.08,0.0
2022-01-28,142.09,143.46,141.85,143.13,12826512.0,1833726600.0,143.13,0.0
2022-01-31,142.18,142.95,141.96,142.39,13998392.0,1993862300.0,142.39,0.19813
2022-02-01,142.28,142.36,141.055,141.72,20806096.0,2947822800.0,141.72,0.0
2022-02-02,141.95,143.57,141.93,142.2,18404568.0,2625691000.0,142.2,0.0
2022-02-03,140.44,141.48,140.18,141.09,17234052.0,2428674000.0,141.09,0.0
2022-02-04,139.85,140.14,138.78,139.01,23609756.0,3286780000.0,139.01,0.0
2022-02-07,138.91,139.31,138.55,139.1,12962436.0,1801876000.0,139.1,0.0
2022-02-08,138.21,138.58,137.82,138.17,16269187.0,2248925200.0,138.17,0.0
2022-02-09,138.72,139.37,138.19,138.43,14349139.0,1990674400.0,138.43,0.0
2022-02-10,137.66,137.83,135.84,136.23,30896260.0,4227216600.0,136.23,0.0
2022-02-11,136.87,138.51,135.36,138.25,43210270.0,5921117000.0,138.25,0.0
2022-02-14,137.13,137.74,135.97,136.53,23157420.0,3166935800.0,136.53,0.0
2022-02-15,135.6,135.84,134.94,134.98,18200704.0,2462940700.0,134.98,0.0
2022-02-16,135.95,136.07,134.51,135.78,16473677.0,2229716200.0,135.78,0.0
2022-02-17,136.45,137.565,135.9,136.79,24508242.0,3352840200.0,136.79,0.0
2022-02-18,137.52,138.37,137.16,138.23,17522576.0,2416277200.0,138.23,0.0
2022-02-22,137.69,138.67,137.47,138.59,19534044.0,2698572500.0,138.59,0.0
2022-02-23,137.68,137.8499,136.565,136.68,17757840.0,2434645000.0,136.68,0.0
2022-02-24,139.1,139.37,136.25,136.77,28150362.0,3876853200.0,136.77,0.0
2022-02-25,136.86,137.31,136.18,136.87,15025360.0,2054548100.0,136.87,0.0
2022-02-28,138.43,140.045,138.32,139.87,25817704.0,3598208300.0,139.87,0.18472
2022-03-01,140.36,142.33,140.0,141.3,35664356.0,5040113000.0,141.3,0.0
2022-03-02,139.84,140.42,136.41,136.47,30397410.0,4203298600.0,136.47,0.0
2022-03-03,137.49,138.7,137.02,137.86,20649064.0,2847112700.0,137.86,0.0
2022-03-04,140.36,140.825,139.305,140.24,25854808.0,3625299500.0,140.24,0.0
2022-03-07,139.12,140.64,138.77,139.17,23710932.0,3310929400.0,139.17,0.0
2022-03-08,137.51,138.25,137.25,137.77,28331276.0,3903136500.0,137.77,0.0
2022-03-09,137.065,137.3403,136.13,136.42,18819154.0,2572698600.0,136.42,0.0
2022-03-10,134.83,135.17,133.72,134.46,26868880.0,3610186200.0,134.46,0.0
2022-03-11,134.33,135.45,134.21,134.91,15583795.0,2100237800.0,134.91,0.0
2022-03-14,132.7,132.89,131.72,131.76,24384956.0,3224308000.0,131.76,0.0
2022-03-15,132.86,133.15,131.19,131.53,17518754.0,2311697400.0,131.53,0.0
2022-03-16,131.83,133.13,130.32,132.82,25857702.0,3412471000.0,132.82,0.0
2022-03-17,132.82,133.34,131.07,131.83,19330578.0,2553508900.0,131.83,0.0
2022-03-18,132.57,133.535,132.57,133.44,55891680.0,7445738000.0,133.44,0.0
2022-03-21,131.28,131.67,129.75,130.35,26122048.0,3415189000.0,130.35,0.0
2022-03-22,128.96,129.335,128.34,128.68,21830886.0,2813783800.0,128.68,0.0
2022-03-23,129.37,131.6,128.86,131.5,21266116.0,2771743200.0,131.5,0.0
2022-03-24,129.65,131.18,129.6,130.47,17141592.0,2236910300.0,130.47,0.0
2022-03-25,129.5,129.52,127.65,128.66,25689788.0,3306492700.0,128.66,0.0
2022-03-28,129.39,130.56,129.04,129.76,17657776.0,2289429500.0,129.76,0.0
2022-03-29,130.56,131.55,129.74,130.74,19319654.0,2523662600.0,130.74,0.0
2022-03-30,130.07,132.01,129.985,131.76,16310219.0,2143558500.0,131.76,0.0
2022-03-31,131.98,132.67,131.66,132.08,19900952.0,2632551000.0,132.08,0.20173
2022-04-01,130.01,132.96,129.71,132.38,23489724.0,3096955600.0,132.38,0.0
2022-04-04,131.93,131.98,130.71,131.46,13609923.0,1788519000.0,131.46,0.0
2022-04-05,130.76,130.775,128.29,128.49,25196928.0,3247718000.0,128.49,0.0
2022-04-06,126.43,128.3,126.4,127.45,22951954.0,2920984000.0,127.45,0.0
2022-04-07,126.11,126.67,125.41,126.49,23458768.0,2957815000.0,126.49,0.0
2022-04-08,125.45,125.83,124.26,125.12,26859158.0,3357429500.0,125.12,0.0
2022-04-11,123.92,124.19,122.56,123.14,30020696.0,3699611400.0,123.14,0.0
2022-04-12,124.05,124.16,122.67,122.97,23124178.0,2853507000.0,122.97,0.0
2022-04-13,123.05,124.3,122.89,123.22,17189500.0,2123706800.0,123.22,0.0
2022-04-14,122.86,122.93,120.38,120.75,34274530.0,4151041800.0,120.75,0.0
2022-04-18,120.87,121.08,119.69,120.15,18784252.0,2257786600.0,120.15,0.0
